Temporada,Color,Estilo,Estampado,Escote,Longitud_manga,Corte,Material,Precio,Ventas
Invierno,Azul,Casual,Geometrico,Redondo,Sin mangas,Tirantes,Poliuretano,$281.35,100
Primavera,Multicolor,Elegante,Combinado,Redondo,Manga corta,A línea,Poliamida,$455.00,1000
Invierno,Rojo,Elegante,Generico,Corazon,Manga larga,Ajustado,Poliuretano,$298.57,10
Verano,Verde,Sexy,Generico,Alzado,Sin mangas,Tirantes,Tela tricotada,$142.45,100
Otoño,Azul,Vintage,Floral,V,Manga corta,A línea,Viscosa,$264.26,700
Otoño,Verde,Casual,Generico,V,Manga corta,A línea,Tela tricotada,$363.00,100
Invierno,Cafe,Casual,Generico,Redondo,Manga larga,Natural,Elastano,$171.00,300
Otoño,Negro,Casual,Combinado,Corazon,Sin mangas,Tirantes,Poliuretano,$312.00,1000
Verano,Negro,Elegante,Generico,Recto,Manga corta,A línea,Poliamida,$328.02,600
Primavera,Negro,Casual,Combinado,Redondo,Sin mangas,Ajustado,Poliuretano,$157.68,16
Otoño,Negro,Vintage,Floral,Corazon,Sin mangas,Tirantes,Algodón,$184.03,300
Invierno,Rosa,Casual,Generico,Redondo,Manga corta,Ajustado,Algodón,$177.87,900
Verano,Azul,Casual,Generico,Redondo,Sin mangas,Ajustado,Algodón,$295.00,200
Invierno,Rosa,Elegante,Generico,Redondo,Manga larga,A línea,Algodón,"$1,260.00",1000
Verano,Negro,Elegante,Combinado,Asimetrico,Manga corta,Ajustado,Tela tricotada,$187.88,800
Primavera,Multicolor,Elegante,Geometrico,Corazon,Sin mangas,Generico,Poliuretano,$132.00,200
Otoño,Negro,Elegante,Generico,Asimetrico,Sin mangas,Natural,Poliamida,$261.00,13
Otoño,Verde,Vintage,Floral,Recto,Sin mangas,Tirantes,Poliamida,$204.00,300
Otoño,Multicolor,Casual,Geometrico,Redondo,Sin mangas,Ajustado,Algodón,$223.20,300
Primavera,Multicolor,Elegante,Generico,Camisero,Media,Camisa,Poliamida,$404.00,1000
Invierno,Multicolor,Vintage,Floral,V,Manga corta,A línea,Algodón,$283.00,400
Verano,Verde,Sexy,Generico,Alzado,Sin mangas,Tirantes,Poliamida,$318.78,50
Otoño,Verde,Elegante,Generico,Corazon,Sin mangas,Natural,Algodón,$196.52,40
Verano,Naranja,Casual,Generico,Redondo,Sin mangas,Ajustado,Elastano,$247.00,400
Invierno,Blanco,Elegante,Generico,Alzado,Manga larga,A línea,Algodón,$537.00,100
Invierno,Multicolor,Casual,Combinado,Redondo,Manga corta,Holgado,Viscosa,$234.00,1000
Otoño,Negro,Vintage,Geometrico,Corazon,Manga corta,A línea,Poliamida,$263.00,400
Invierno,Negro,Casual,Geometrico,Recto,Sin mangas,Natural,Algodón,$161.70,39
Verano,Verde,Vintage,Generico,Redondo,Sin mangas,A línea,Elastano,$297.00,400
Verano,Rosa,Elegante,Generico,Redondo,Manga corta,Ajustado,Tela tricotada,$220.99,600
Primavera,Azul,Casual,Generico,Recto,Manga corta,A línea,Poliuretano,$299.30,400
Invierno,Multicolor,Vintage,Floral,V,Manga corta,A línea,Tela tricotada,$362.00,1000
Otoño,Negro,Elegante,Generico,Redondo,Sin mangas,A línea,Elastano,$167.90,900
Primavera,Naranja,Vintage,Geometrico,Redondo,Sin mangas,A línea,Poliuretano,$216.81,300
Verano,Rojo,Vintage,Geometrico,V,Manga corta,A línea,Algodón,$256.41,500
Invierno,Negro,Sexy,Combinado,Corazon,Manga larga,Ajustado,Poliuretano,$226.30,12
Verano,Multicolor,Vintage,Geometrico,Redondo,Sin mangas,Tirantes,Poliamida,$284.90,100
Invierno,Negro,Casual,Generico,Redondo,Sin mangas,Tirantes,Poliamida,$237.00,1000
Primavera,Verde,Casual,Generico,Recto,Sin mangas,Ajustado,Poliuretano,$238.71,12
Invierno,Naranja,Sexy,Geometrico,Recto,Sin mangas,Natural,Poliuretano,$180.00,900
Primavera,Azul,Casual,Generico,V,Media,A línea,Algodón,$411.18,200
Otoño,Naranja,Vintage,Floral,Redondo,Sin mangas,Ajustado,Poliuretano,$178.64,400
Invierno,Negro,Elegante,Generico,Alzado,Manga larga,Ajustado,Viscosa,$255.75,21
Primavera,Azul,Vintage,Floral,V,Manga larga,A línea,Poliuretano,$500.00,1000
Primavera,Rojo,Casual,Geometrico,Recto,Manga corta,A línea,Poliamida,$351.00,300
Otoño,Negro,Vintage,Floral,Recto,Manga corta,A línea,Algodón,$356.00,200
Otoño,Negro,Casual,Generico,Redondo,Manga corta,Ajustado,Algodón,$224.11,600
Verano,Rojo,Casual,Generico,Recto,Manga corta,A línea,Tela tricotada,$152.55,300
Primavera,Negro,Vintage,Floral,Alzado,Sin mangas,A línea,Algodón,$253.33,300
Invierno,Cafe,Elegante,Generico,V,Manga larga,Ajustado,Algodón,$375.00,1000
Invierno,Multicolor,Elegante,Combinado,Redondo,Media,Natural,Poliamida,$286.44,100
Verano,Naranja,Casual,Geometrico,Camisero,Manga larga,Camisa,Poliuretano,$246.00,30
Otoño,Negro,Elegante,Generico,Redondo,Sin mangas,Ajustado,Poliuretano,$321.00,200
Otoño,Rosa,Casual,Generico,Redondo,Manga corta,A línea,Algodón,$207.00,10
Primavera,Negro,Elegante,Generico,V,Manga larga,Ajustado,Poliamida,$195.64,600
Verano,Multicolor,Vintage,Floral,Corazon,Manga corta,A línea,Poliuretano,$280.00,1000
Otoño,Azul,Casual,Combinado,Camisero,Manga corta,Camisa,Poliamida,$250.00,600
Primavera,Multicolor,Vintage,Combinado,Redondo,Media,Natural,Algodón,$193.00,100
Invierno,Azul,Vintage,Floral,V,Manga larga,A línea,Poliuretano,$251.02,90
Otoño,Rosa,Vintage,Floral,Recto,Manga corta,A línea,Poliuretano,$233.00,300
Primavera,Amarillo,Vintage,Floral,Recto,Manga larga,A línea,Algodón,$392.70,200
Primavera,Azul,Vintage,Geometrico,Recto,Sin mangas,A línea,Algodón,$358.00,1000
Verano,Blanco,Casual,Geometrico,V,Sin mangas,Ajustado,Poliuretano,$193.45,500
Verano,Azul,Casual,Geometrico,Redondo,Media,A línea,Viscosa,$337.00,300
Primavera,Blanco,Vintage,Generico,V,Media,A línea,Algodón,$376.68,200
Invierno,Rosa,Vintage,Floral,Recto,Manga corta,A línea,Algodón,$516.00,100
Verano,Amarillo,Vintage,Floral,V,Media,A línea,Algodón,$314.16,600
Otoño,Multicolor,Casual,Combinado,Redondo,Manga corta,A línea,Poliamida,$270.00,1000
Otoño,Verde,Casual,Geometrico,Corazon,Sin mangas,A línea,Tela tricotada,$393.30,200
Verano,Azul,Casual,Floral,Redondo,Sin mangas,Tirantes,Poliamida,$192.50,200
Invierno,Cafe,Casual,Generico,Recto,Manga larga,A línea,Poliamida,$312.44,300
Invierno,Rosa,Vintage,Generico,Camisero,Manga larga,Camisa,Algodón,$358.05,200
Otoño,Azul,Vintage,Floral,Redondo,Sin mangas,Holgado,Poliuretano,$204.00,300
Otoño,Negro,Casual,Generico,Redondo,Manga corta,Camisa,Poliamida,$559.00,1000
Primavera,Negro,Casual,Generico,Redondo,Manga larga,Camisa,Tela tricotada,$276.00,16
Invierno,Verde,Casual,Generico,V,Manga larga,Ajustado,Algodón,$194.25,10
Verano,Verde,Fiesta,Generico,Recto,Manga corta,Ajustado,Elastano,$320.32,700
Verano,Azul,Casual,Generico,V,Sin mangas,A línea,Algodón,$217.14,100
Otoño,Blanco,Vintage,Combinado,V,Media,A línea,Poliamida,$249.48,200
Invierno,Azul,Vintage,Floral,V,Manga larga,A línea,Algodón,$473.00,1000
Otoño,Naranja,Vintage,Floral,Alzado,Sin mangas,Tirantes,Tela tricotada,$262.07,200
Verano,Naranja,Sexy,Generico,Corazon,Sin mangas,Ajustado,Algodón,$209.00,200
Primavera,Cafe,Casual,Generico,Corazon,Sin mangas,A línea,Viscosa,$373.00,400
Invierno,Multicolor,Sexy,Combinado,Corazon,Sin mangas,Tirantes,Poliamida,$335.00,400
Verano,Negro,Casual,Generico,Redondo,Manga corta,Camisa,Poliuretano,$176.00,600
Otoño,Rosa,Vintage,Floral,Corazon,Sin mangas,A línea,Poliuretano,$809.00,1000
Otoño,Rojo,Vintage,Geometrico,Recto,Media,A línea,Poliamida,$260.10,300
Primavera,Azul,Casual,Geometrico,Redondo,Manga corta,Camisa,Algodón,$175.20,400
Otoño,Multicolor,Vintage,Floral,Corazon,Sin mangas,Natural,Viscosa,$190.96,300
Verano,Verde,Casual,Generico,Camisero,Manga corta,Camisa,Algodón,$335.00,60
Otoño,Azul,Casual,Generico,Recto,Sin mangas,Ajustado,Poliuretano,$286.00,80
Otoño,Negro,Fiesta,Generico,Recto,Media,Ajustado,Algodón,"$5,426.00",1000
Primavera,Negro,Elegante,Combinado,Redondo,Manga larga,A línea,Tela tricotada,$300.76,100
Invierno,Verde,Casual,Combinado,Redondo,Sin mangas,Holgado,Poliamida,$220.00,500
Primavera,Cafe,Casual,Generico,Redondo,Manga larga,A línea,Algodón,$268.60,800
Verano,Rojo,Sexy,Generico,V,Sin mangas,Natural,Poliuretano,$173.00,10
Invierno,Multicolor,Vintage,Combinado,Redondo,Sin mangas,A línea,Algodón,$169.40,100
Otoño,Verde,Casual,Generico,V,Sin mangas,A línea,Elastano,$563.00,1000
Primavera,Multicolor,Vintage,Floral,Corazon,Sin mangas,Tirantes,Algodón,$275.66,400
Verano,Rojo,Sexy,Generico,Recto,Sin mangas,Natural,Poliuretano,$262.00,700
Invierno,Cafe,Sexy,Generico,Corazon,Sin mangas,Tirantes,Poliuretano,$253.00,100
Primavera,Rosa,Elegante,Generico,Alzado,Sin mangas,A línea,Poliuretano,$543.00,100
Otoño,Negro,Casual,Generico,Alzado,Sin mangas,Ajustado,Tela tricotada,$456.00,100
Verano,Cafe,Vintage,Floral,V,Manga corta,A línea,Poliuretano,$563.00,1000
Verano,Rosa,Elegante,Generico,Camisero,Manga corta,Natural,Algodón,$217.91,400
Otoño,Multicolor,Elegante,Floral,Corazon,Media,A línea,Elastano,$442.00,200
Otoño,Rosa,Elegante,Generico,Redondo,Manga larga,A línea,Poliamida,$257.00,300
Invierno,Blanco,Casual,Combinado,V,Media,Camisa,Poliamida,$260.61,200
Invierno,Azul,Fiesta,Generico,Asimetrico,Sin mangas,Ajustado,Elastano,$756.00,100
Primavera,Naranja,Elegante,Floral,Redondo,Sin mangas,Ajustado,Poliuretano,$296.00,1000
Invierno,Negro,Vintage,Generico,V,Manga larga,Holgado,Poliuretano,$330.00,600
Invierno,Negro,Sexy,Generico,V,Manga larga,A línea,Poliamida,$327.20,600
Primavera,Verde,Casual,Generico,Redondo,Manga corta,A línea,Tela tricotada,$606.00,70
Verano,Rosa,Sexy,Floral,Alzado,Manga larga,Holgado,Poliuretano,$160.00,10
Primavera,Cafe,Casual,Generico,Alzado,Sin mangas,A línea,Poliuretano,$353.00,100
Verano,Verde,Casual,Generico,V,Manga corta,A línea,Poliuretano,$408.00,1000
Primavera,Blanco,Vintage,Floral,V,Media,Holgado,Poliuretano,$399.63,100
Verano,Amarillo,Vintage,Floral,V,Sin mangas,A línea,Algodón,$258.00,300
Verano,Blanco,Casual,Generico,Recto,Sin mangas,A línea,Poliuretano,$371.57,100
Verano,Negro,Elegante,Combinado,Redondo,Media,Natural,Algodón,$277.00,300
Primavera,Azul,Vintage,Floral,Corazon,Sin mangas,Natural,Poliamida,$193.00,200
Invierno,Negro,Casual,Generico,Redondo,Manga larga,A línea,Poliuretano,$374.00,1000
Invierno,Azul,Casual,Geometrico,V,Media,Natural,Poliuretano,$224.84,800
Primavera,Naranja,Vintage,Generico,Redondo,Sin mangas,Tirantes,Poliamida,$420.00,50
Verano,Verde,Casual,Generico,V,Sin mangas,Tirantes,Elastano,$229.22,700
Otoño,Verde,Vintage,Floral,Corazon,Sin mangas,Tirantes,Algodón,$267.00,70
Otoño,Amarillo,Vintage,Floral,V,Manga corta,A línea,Poliamida,$246.00,300
Verano,Negro,Casual,Generico,Recto,Sin mangas,Tirantes,Algodón,$432.00,1000
Primavera,Azul,Casual,Combinado,Camisero,Manga larga,Camisa,Elastano,$337.50,200
Verano,Negro,Sexy,Generico,Corazon,Sin mangas,Natural,Algodón,$187.00,400
Invierno,Cafe,Casual,Generico,V,Manga corta,Ajustado,Poliuretano,$232.80,700
Invierno,Azul,Elegante,Generico,Recto,Sin mangas,Natural,Viscosa,$155.20,100
Primavera,Negro,Sexy,Generico,Recto,Sin mangas,Tirantes,Viscosa,$185.00,500
Invierno,Multicolor,Vintage,Generico,V,Manga corta,A línea,Algodón,$389.00,1000
Primavera,Verde,Elegante,Generico,Camisero,Manga corta,Ajustado,Poliuretano,$365.00,200
Verano,Blanco,Vintage,Floral,Redondo,Manga corta,Natural,Algodón,$192.00,400
Primavera,Azul,Casual,Generico,V,Media,A línea,Poliamida,$200.90,600
Invierno,Verde,Elegante,Generico,Alzado,Sin mangas,Ajustado,Tela tricotada,$197.00,200
Otoño,Negro,Sexy,Geometrico,Redondo,Manga larga,Natural,Poliuretano,$203.67,100
Verano,Blanco,Casual,Floral,Redondo,Media,Generico,Viscosa,$462.00,1000
Verano,Negro,Casual,Generico,Redondo,Sin mangas,Tirantes,Algodón,$151.69,400
Primavera,Verde,Vintage,Floral,V,Manga corta,A línea,Algodón,$295.68,50
Otoño,Blanco,Casual,Geometrico,Redondo,Sin mangas,Natural,Viscosa,$282.00,100
Invierno,Negro,Elegante,Generico,Recto,Sin mangas,Natural,Algodón,$217.00,200
Invierno,Naranja,Vintage,Generico,Recto,Manga corta,A línea,Poliamida,$268.73,14
Otoño,Multicolor,Casual,Combinado,V,Manga corta,A línea,Poliuretano,$432.00,1000
Verano,Negro,Casual,Floral,Redondo,Sin mangas,Natural,Viscosa,$191.00,100
Verano,Negro,Casual,Combinado,Redondo,Sin mangas,Ajustado,Elastano,$197.00,900
Primavera,Cafe,Vintage,Floral,Alzado,Manga corta,Holgado,Tela tricotada,$257.95,100
Invierno,Rosa,Vintage,Generico,V,Media,A línea,Algodón,$531.00,100
Primavera,Rosa,Sexy,Generico,Redondo,Sin mangas,Ajustado,Algodón,$252.00,200
Primavera,Cafe,Casual,Combinado,V,Manga corta,A línea,Algodón,$242.00,1000
Invierno,Rosa,Vintage,Generico,Redondo,Media,Holgado,Tela tricotada,$252.00,400
Primavera,Azul,Vintage,Floral,Redondo,Sin mangas,Natural,Poliuretano,$169.00,100
Verano,Multicolor,Casual,Floral,Camisero,Manga corta,Camisa,Algodón,$423.00,100
Otoño,Multicolor,Elegante,Floral,Redondo,Sin mangas,A línea,Tela tricotada,$410.00,100
Invierno,Multicolor,Vintage,Floral,V,Media,A línea,Poliamida,$248.71,80
Invierno,Rojo,Elegante,Generico,Redondo,Manga corta,Natural,Algodón,$216.00,1000
Invierno,Multicolor,Casual,Geometrico,V,Media,Holgado,Poliamida,$294.14,100
Primavera,Rojo,Vintage,Generico,Redondo,Manga corta,A línea,Algodón,$290.00,400
Otoño,Azul,Sexy,Combinado,Alzado,Sin mangas,Ajustado,Elastano,$225.61,300
Primavera,Negro,Elegante,Generico,Asimetrico,Media,Natural,Algodón,$277.95,700
Primavera,Negro,Casual,Floral,Recto,Sin mangas,Tirantes,Poliuretano,$258.00,300
Verano,Blanco,Vintage,Floral,Camisero,Manga larga,A línea,Algodón,$589.00,1000
Otoño,Rosa,Vintage,Floral,Recto,Manga corta,A línea,Viscosa,$273.00,700
Invierno,Multicolor,Casual,Generico,Redondo,Sin mangas,A línea,Poliuretano,$219.00,900
Invierno,Blanco,Elegante,Combinado,Recto,Media,A línea,Elastano,$291.27,600
Otoño,Verde,Fiesta,Generico,Alzado,Sin mangas,Ajustado,Algodón,$676.00,300
Invierno,Naranja,Vintage,Floral,Corazon,Manga corta,A línea,Algodón,$251.79,100
Invierno,Cafe,Casual,Generico,V,Manga corta,Natural,Poliamida,$375.00,1000
Invierno,Negro,Fiesta,Generico,Corazon,Sin mangas,Ajustado,Algodón,$299.00,200
Otoño,Negro,Elegante,Generico,Recto,Manga corta,A línea,Poliuretano,$272.00,100
Primavera,Blanco,Casual,Generico,Recto,Sin mangas,A línea,Poliamida,$177.39,200
Invierno,Verde,Elegante,Generico,Redondo,Media,Ajustado,Poliuretano,$252.00,100
Invierno,Rojo,Sexy,Generico,Alzado,Sin mangas,Tirantes,Algodón,$280.00,100
Verano,Negro,Elegante,Generico,V,Sin mangas,Ajustado,Poliuretano,$630.00,1000
Invierno,Multicolor,Vintage,Generico,V,Media,A línea,Poliuretano,$328.79,100
Primavera,Verde,Casual,Generico,Alzado,Sin mangas,A línea,Viscosa,$396.00,60
Verano,Rojo,Casual,Combinado,Recto,Manga corta,A línea,Poliamida,$341.00,200
Verano,Rosa,Elegante,Generico,V,Manga corta,Ajustado,Poliuretano,$380.00,80
Verano,Multicolor,Casual,Combinado,Asimetrico,Manga larga,Natural,Viscosa,$206.00,80
Primavera,Multicolor,Elegante,Floral,Alzado,Manga larga,A línea,Algodón,$501.00,1000
Primavera,Multicolor,Vintage,Floral,Redondo,Media,Natural,Poliuretano,$200.00,900
Otoño,Blanco,Casual,Combinado,Recto,Media,Generico,Algodón,$322.63,200
Verano,Multicolor,Vintage,Floral,Corazon,Sin mangas,Tirantes,Algodón,$183.00,100
Verano,Amarillo,Fiesta,Generico,Corazon,Sin mangas,Tirantes,Algodón,$493.00,400
Primavera,Rojo,Casual,Generico,Recto,Sin mangas,Tirantes,Poliamida,$113.90,700
Primavera,Multicolor,Elegante,Generico,Camisero,Media,Camisa,Poliamida,$404.00,1000
Primavera,Verde,Vintage,Floral,Redondo,Manga larga,A línea,Tela tricotada,$264.11,200
Otoño,Verde,Casual,Generico,V,Manga corta,Ajustado,Poliuretano,$437.00,300
Verano,Naranja,Casual,Generico,V,Manga corta,A línea,Poliuretano,$332.00,40
Primavera,Rosa,Elegante,Generico,V,Manga corta,A línea,Poliuretano,$395.00,100
Invierno,Blanco,Casual,Combinado,Recto,Sin mangas,A línea,Algodón,$553.00,60
Verano,Verde,Vintage,Geometrico,Recto,Sin mangas,Tirantes,Poliuretano,$278.00,1000
Verano,Negro,Sexy,Generico,Asimetrico,Manga corta,Ajustado,Algodón,$209.00,300
Otoño,Azul,Sexy,Generico,Alzado,Sin mangas,Natural,Algodón,$210.24,600
Primavera,Blanco,Casual,Floral,Recto,Sin mangas,Tirantes,Algodón,$243.09,100
Invierno,Multicolor,Casual,Combinado,Alzado,Manga larga,Ajustado,Algodón,$203.67,200
Verano,Multicolor,Elegante,Floral,Alzado,Sin mangas,A línea,Elastano,$382.00,200
Invierno,Multicolor,Casual,Combinado,Corazon,Sin mangas,Tirantes,Elastano,$357.00,1000
Invierno,Negro,Elegante,Generico,Corazon,Manga larga,Holgado,Tela tricotada,$339.20,11
Primavera,Azul,Casual,Generico,Corazon,Media,A línea,Poliuretano,$793.00,40
Verano,Morado,Casual,Generico,Redondo,Manga corta,Natural,Poliuretano,$198.00,100
Primavera,Rojo,Vintage,Geometrico,Corazon,Sin mangas,Tirantes,Poliuretano,$156.00,13
Primavera,Negro,Vintage,Combinado,Recto,Sin mangas,Tirantes,Poliuretano,$177.87,10
Otoño,Multicolor,Casual,Combinado,Redondo,Manga corta,Holgado,Algodón,$234.00,1000
Invierno,Negro,Vintage,Generico,V,Manga larga,Ajustado,Poliuretano,$974.10,20
Otoño,Blanco,Vintage,Combinado,Redondo,Media,Generico,Viscosa,$473.40,100
Primavera,Azul,Casual,Generico,Redondo,Sin mangas,Tirantes,Elastano,$218.00,100
Primavera,Negro,Casual,Generico,Redondo,Media,Natural,Algodón,$371.00,90
Otoño,Amarillo,Sexy,Generico,V,Media,A línea,Algodón,$361.00,60
Invierno,Negro,Casual,Generico,Recto,Sin mangas,Tirantes,Poliuretano,$237.00,1000
Otoño,Verde,Vintage,Floral,Recto,Manga corta,A línea,Poliamida,$312.00,80
Verano,Azul,Vintage,Floral,Redondo,Media,A línea,Poliuretano,$211.00,600
Invierno,Rojo,Elegante,Floral,V,Manga corta,A línea,Algodón,$311.00,100
Primavera,Azul,Casual,Combinado,V,Sin mangas,Natural,Tela tricotada,$125.51,90
Verano,Rojo,Fiesta,Generico,Redondo,Manga larga,A línea,Poliuretano,$426.58,300
Verano,Rosa,Elegante,Generico,Alzado,Sin mangas,Natural,Algodón,$285.00,1000
Verano,Multicolor,Elegante,Floral,V,Media,A línea,Algodón,$275.00,200
Primavera,Verde,Vintage,Floral,Recto,Manga corta,A línea,Algodón,$267.20,200
Invierno,Rojo,Sexy,Generico,V,Manga larga,A línea,Poliuretano,$313.60,100
Verano,Multicolor,Vintage,Generico,Asimetrico,Manga larga,Natural,Viscosa,$267.96,20
Primavera,Negro,Sexy,Generico,Redondo,Manga larga,Ajustado,Tela tricotada,$281.35,100
Verano,Cafe,Elegante,Generico,V,Manga larga,Ajustado,Poliuretano,$375.00,1000
Otoño,Rosa,Vintage,Combinado,Corazon,Media,Holgado,Poliamida,$242.55,60
Otoño,Rosa,Elegante,Generico,Alzado,Media,A línea,Tela tricotada,$381.79,100
Invierno,Rosa,Elegante,Generico,Recto,Sin mangas,Tirantes,Poliamida,$386.00,20
Invierno,Rosa,Elegante,Generico,Redondo,Manga corta,Ajustado,Algodón,$271.00,90
Otoño,Verde,Vintage,Generico,Recto,Manga corta,A línea,Viscosa,$431.00,1000
Primavera,Rosa,Vintage,Floral,Recto,Manga corta,A línea,Poliuretano,$239.44,500
Primavera,Azul,Vintage,Floral,Redondo,Manga larga,,Algodón,$299.00,40
Otoño,Blanco,Sexy,Generico,Alzado,Manga larga,Ajustado,Algodón,$283.24,200
Otoño,Rojo,Casual,Generico,Corazon,Sin mangas,Tirantes,Poliamida,$230.40,100
Otoño,Verde,Vintage,Floral,Redondo,Sin mangas,Tirantes,Poliuretano,$251.02,50
Verano,Azul,Vintage,Geometrico,Recto,Sin mangas,A línea,Tela tricotada,$358.00,1000
Verano,Gris,Casual,Generico,Recto,Sin mangas,A línea,Algodón,$562.00,10
Primavera,Verde,Elegante,Generico,Redondo,Media,Natural,Algodón,$368.90,100
Verano,Rosa,Casual,Generico,Redondo,Manga larga,A línea,Algodón,$387.31,90
Invierno,Azul,Vintage,Floral,Asimetrico,Manga corta,Ajustado,Algodón,$244.00,100
Verano,Amarillo,Vintage,Generico,V,Manga corta,A línea,Viscosa,$341.00,40
Invierno,Naranja,Casual,Generico,Redondo,Manga corta,Natural,Poliamida,$276.00,1000
Verano,Negro,Casual,Generico,V,Media,Generico,Viscosa,$423.30,90
Verano,Rojo,Elegante,Generico,Redondo,Manga larga,Natural,Poliuretano,$193.60,19
Primavera,Naranja,Elegante,Generico,Alzado,Sin mangas,Ajustado,Poliuretano,$361.00,100
Invierno,Negro,Elegante,Generico,Recto,Sin mangas,Ajustado,Viscosa,$283.00,90
Verano,Verde,Casual,Generico,Recto,Sin mangas,Tirantes,Poliamida,$275.00,70
Primavera,Rosa,Sexy,Generico,Recto,Manga larga,Natural,Viscosa,$168.00,1000
Primavera,Negro,Sexy,Generico,Redondo,Manga larga,Ajustado,Algodón,$223.30,90
Invierno,Rosa,Elegante,Generico,Redondo,Media,Holgado,Tela tricotada,$126.72,400
Primavera,Azul,Vintage,Floral,Corazon,Manga corta,A línea,Poliamida,$341.88,80
Otoño,Rosa,Vintage,Floral,Corazon,Sin mangas,Tirantes,Viscosa,$341.00,200
Invierno,Multicolor,Casual,Combinado,Recto,Sin mangas,Tirantes,Viscosa,$150.38,35
Invierno,Multicolor,Elegante,Combinado,V,Sin mangas,A línea,Poliamida,$386.00,1000
Otoño,Blanco,Casual,Generico,V,Media,Generico,Poliuretano,$210.00,300
Invierno,Multicolor,Casual,Combinado,V,Sin mangas,Ajustado,Poliamida,$251.00,300
Verano,Negro,Elegante,Generico,Asimetrico,Media,A línea,Algodón,$415.00,20
Invierno,Rosa,Casual,Generico,V,Manga corta,A línea,Viscosa,$403.00,90
Primavera,Azul,Elegante,Generico,Recto,Sin mangas,Ajustado,Poliuretano,$246.00,200
Primavera,Blanco,Vintage,Generico,V,Manga corta,A línea,Poliuretano,$287.00,1000
Verano,Azul,Sexy,Generico,Alzado,Sin mangas,Ajustado,Algodón,$200.00,400
Otoño,Multicolor,Vintage,Generico,Alzado,Sin mangas,A línea,Poliuretano,$305.60,100
Primavera,Naranja,Vintage,Floral,Alzado,Sin mangas,Tirantes,Poliuretano,$238.71,400
Invierno,Verde,Casual,Generico,Redondo,Sin mangas,Natural,Poliuretano,$171.00,200
Verano,Multicolor,Casual,Geometrico,V,Media,Natural,Viscosa,$176.00,400
Otoño,Rojo,Elegante,Generico,Redondo,Manga corta,A línea,Poliuretano,$470.00,1000
Verano,Blanco,Casual,Generico,V,Sin mangas,Holgado,Poliuretano,$336.00,60
Otoño,Multicolor,Vintage,Floral,Corazon,Sin mangas,Tirantes,Poliamida,$371.00,100
Verano,Rosa,Elegante,Generico,Recto,Manga corta,A línea,Poliuretano,$419.05,100
Invierno,Multicolor,Casual,Floral,V,Media,A línea,Poliuretano,$304.80,300
Verano,Verde,Casual,Combinado,Corazon,Sin mangas,Natural,Poliuretano,$169.00,70
Verano,Multicolor,Casual,Generico,Asimetrico,Manga larga,Holgado,Poliuretano,$542.00,1000
Primavera,Verde,Casual,Generico,Redondo,Manga corta,A línea,Poliuretano,$416.00,90
Otoño,Verde,Vintage,Generico,Redondo,Sin mangas,Holgado,Poliuretano,$470.00,40
Invierno,Verde,Casual,Generico,Redondo,Sin mangas,Holgado,Viscosa,$159.87,100
Verano,Blanco,Casual,Floral,Redondo,Media,Generico,Tela tricotada,$180.00,100
Otoño,Azul,Casual,Generico,Recto,Manga corta,A línea,Viscosa,$281.00,100
Invierno,Amarillo,Casual,Generico,Corazon,Sin mangas,Tirantes,Viscosa,"$1,037.00",1000
Primavera,Negro,Vintage,Generico,V,Sin mangas,Ajustado,Elastano,$216.08,100
Verano,Azul,Vintage,Floral,V,Media,A línea,Poliuretano,$310.00,100
Primavera,Multicolor,Fiesta,Generico,Recto,Media,A línea,Algodón,$499.20,80
Otoño,Naranja,Vintage,Floral,Camisero,Manga larga,Camisa,Elastano,$343.80,100
Invierno,Azul,Elegante,Generico,Corazon,Manga corta,Ajustado,Algodón,$342.00,70
Invierno,Rosa,Vintage,Generico,Alzado,Sin mangas,Tirantes,Poliuretano,$346.00,1000
Otoño,Azul,Vintage,Floral,Corazon,Sin mangas,Tirantes,Viscosa,$313.00,90
Primavera,Negro,Casual,Generico,Recto,Manga corta,Holgado,Poliuretano,$295.00,80
Verano,Rosa,Elegante,Generico,V,Manga corta,Natural,Viscosa,$213.29,100
Verano,Rosa,Casual,Combinado,Redondo,Media,Holgado,Algodón,$264.00,100
Otoño,Cafe,Casual,Combinado,V,Manga corta,A línea,Poliamida,$336.00,100
Verano,Multicolor,Casual,Generico,Alzado,Sin mangas,A línea,Poliuretano,$272.00,1000
Otoño,Rojo,Casual,Generico,Redondo,Sin mangas,Ajustado,Algodón,$274.00,200
Otoño,Cafe,Sexy,Generico,V,Manga corta,Ajustado,Poliuretano,$147.05,800
Primavera,Azul,Casual,Geometrico,Camisero,Manga corta,Camisa,Poliuretano,$286.89,400
Otoño,Cafe,Casual,Generico,Redondo,Media,Ajustado,Tela tricotada,$198.00,300
Verano,Blanco,Casual,Generico,Corazon,Manga corta,A línea,Poliuretano,$579.00,50
Primavera,Azul,Vintage,Floral,Recto,Sin mangas,Tirantes,Poliamida,$340.00,1000
Otoño,Multicolor,Casual,Geometrico,Camisero,Manga corta,Camisa,Poliuretano,$275.00,60
Invierno,Azul,Vintage,Floral,Alzado,Manga larga,A línea,Viscosa,$347.00,40
Verano,Multicolor,Vintage,Combinado,Recto,Manga larga,Holgado,Poliuretano,$339.00,100
Verano,Rosa,Casual,Generico,Corazon,Media,Holgado,Poliuretano,$160.68,100
